   arc_length_s    gamma_x(s)      gamma_y(s)      gamma_z(s)
  4.200000e+00    -1.209578e+00    -1.939755e+00    1.593580e-03
  4.220000e+00    -1.183257e+00    -2.016110e+00    6.774089e-03
  4.240000e+00    -1.154484e+00    -2.090301e+00    1.552914e-02
  4.260000e+00    -1.123327e+00    -2.162220e+00    2.782722e-02
  4.280000e+00    -1.089856e+00    -2.231764e+00    4.362407e-02
  4.300000e+00    -1.054147e+00    -2.298830e+00    6.286285e-02
  4.320000e+00    -1.016279e+00    -2.363321e+00    8.547430e-02
  4.340000e+00    -9.763354e-01    -2.425144e+00    1.113771e-01
  4.360000e+00    -9.344015e-01    -2.484208e+00    1.404779e-01
  4.380000e+00    -8.905673e-01    -2.540427e+00    1.726721e-01
  4.400000e+00    -8.449255e-01    -2.593718e+00    2.078438e-01
  4.420000e+00    -7.975719e-01    -2.644005e+00    2.458664e-01
  4.440000e+00    -7.486053e-01    -2.691214e+00    2.866030e-01
  4.460000e+00    -6.981271e-01    -2.735275e+00    3.299071e-01
  4.480000e+00    -6.462413e-01    -2.776124e+00    3.756229e-01
  4.500000e+00    -5.930543e-01    -2.813702e+00    4.235857e-01
  4.520000e+00    -5.386745e-01    -2.847953e+00    4.736230e-01
  4.540000e+00    -4.832125e-01    -2.878827e+00    5.255546e-01
  4.560000e+00    -4.267806e-01    -2.906279e+00    5.791938e-01
  4.580000e+00    -3.694929e-01    -2.930270e+00    6.343474e-01
  4.600000e+00    -3.114648e-01    -2.950763e+00    6.908169e-01
  4.620000e+00    -2.528129e-01    -2.967728e+00    7.483992e-01
  4.640000e+00    -1.936549e-01    -2.981141e+00    8.068870e-01
  4.660000e+00    -1.341095e-01    -2.990983e+00    8.660698e-01
  4.680000e+00    -7.429586e-02    -2.997238e+00    9.257346e-01
  4.700000e+00    -1.433361e-02    -2.999897e+00    9.856666e-01
  4.720000e+00    4.565730e-02    -2.998957e+00    1.045650e+00
  4.740000e+00    1.055569e-01    -2.994419e+00    1.105470e+00
  4.760000e+00    1.652454e-01    -2.986290e+00    1.164909e+00
  4.780000e+00    2.246033e-01    -2.974581e+00    1.223756e+00
  4.800000e+00    2.835117e-01    -2.959310e+00    1.281797e+00
  4.820000e+00    3.418525e-01    -2.940499e+00    1.338823e+00
  4.840000e+00    3.995085e-01    -2.918176e+00    1.394631e+00
  4.860000e+00    4.563636e-01    -2.892373e+00    1.449018e+00
  4.880000e+00    5.123031e-01    -2.863129e+00    1.501789e+00
  4.900000e+00    5.672139e-01    -2.830485e+00    1.552755e+00
  4.920000e+00    6.209845e-01    -2.794490e+00    1.601731e+00
  4.940000e+00    6.735054e-01    -2.755197e+00    1.648541e+00
  4.960000e+00    7.246693e-01    -2.712663e+00    1.693017e+00
  4.980000e+00    7.743709e-01    -2.666950e+00    1.735000e+00
  5.000000e+00    8.225077e-01    -2.618125e+00    1.774337e+00
  5.020000e+00    8.689795e-01    -2.566259e+00    1.810887e+00
  5.040000e+00    9.136892e-01    -2.511429e+00    1.844519e+00
  5.060000e+00    9.565424e-01    -2.453714e+00    1.875111e+00
  5.080000e+00    9.974481e-01    -2.393198e+00    1.902555e+00
  5.100000e+00    1.036318e+00    -2.329971e+00    1.926750e+00
  5.120000e+00    1.073069e+00    -2.264123e+00    1.947609e+00
  5.140000e+00    1.107619e+00    -2.195751e+00    1.965058e+00
  5.160000e+00    1.139891e+00    -2.124954e+00    1.979034e+00
  5.180000e+00    1.169812e+00    -2.051835e+00    1.989487e+00
  5.200000e+00    1.197312e+00    -1.976500e+00    1.996379e+00
  5.220000e+00    1.222327e+00    -1.899060e+00    1.999684e+00
  5.240000e+00    1.244795e+00    -1.819625e+00    1.999392e+00
  5.260000e+00    1.264660e+00    -1.738311e+00    1.995503e+00
  5.280000e+00    1.281869e+00    -1.655236e+00    1.988032e+00
  5.300000e+00    1.296375e+00    -1.570519e+00    1.977004e+00
  5.320000e+00    1.308134e+00    -1.484284e+00    1.962461e+00
  5.340000e+00    1.317108e+00    -1.396653e+00    1.944453e+00
  5.360000e+00    1.323263e+00    -1.307755e+00    1.923047e+00
  5.380000e+00    1.326570e+00    -1.217715e+00    1.898318e+00
  5.400000e+00    1.327005e+00    -1.126664e+00    1.870357e+00
  5.420000e+00    1.324549e+00    -1.034731e+00    1.839263e+00
  5.440000e+00    1.319186e+00    -9.420496e-01    1.805149e+00
  5.460000e+00    1.310908e+00    -8.487506e-01    1.768137e+00
  5.480000e+00    1.299711e+00    -7.549673e-01    1.728361e+00
  5.500000e+00    1.285595e+00    -6.608333e-01    1.685963e+00
  5.520000e+00    1.268565e+00    -5.664820e-01    1.641097e+00
  5.540000e+00    1.248633e+00    -4.720472e-01    1.593923e+00
  5.560000e+00    1.225814e+00    -3.776623e-01    1.544612e+00
  5.580000e+00    1.200128e+00    -2.834604e-01    1.493341e+00
  5.600000e+00    1.171601e+00    -1.895739e-01    1.440294e+00
  5.620000e+00    1.140263e+00    -9.613433e-02    1.385663e+00
  5.640000e+00    1.106150e+00    -3.272414e-03    1.329644e+00
  5.660000e+00    1.069302e+00    8.888249e-02    1.272439e+00
  5.680000e+00    1.029764e+00    1.802024e-01    1.214253e+00
  5.700000e+00    9.875852e-01    2.705609e-01    1.155295e+00
  5.720000e+00    9.428200e-01    3.598336e-01    1.095779e+00
  5.740000e+00    8.955271e-01    4.478978e-01    1.035919e+00
  5.760000e+00    8.457697e-01    5.346331e-01    9.759289e-01
  5.780000e+00    7.936155e-01    6.199216e-01    9.160255e-01
  5.800000e+00    7.391362e-01    7.036478e-01    8.564244e-01
  5.820000e+00    6.824078e-01    7.856990e-01    7.973401e-01
  5.840000e+00    6.235102e-01    8.659653e-01    7.389850e-01
  5.860000e+00    5.625274e-01    9.443401e-01    6.815694e-01
  5.880000e+00    4.995470e-01    1.020720e+00    6.252997e-01
  5.900000e+00    4.346603e-01    1.095004e+00    5.703786e-01
  5.920000e+00    3.679620e-01    1.167097e+00    5.170036e-01
  5.940000e+00    2.995504e-01    1.236904e+00    4.653670e-01
  5.960000e+00    2.295266e-01    1.304338e+00    4.156544e-01
  5.980000e+00    1.579951e-01    1.369313e+00    3.680448e-01
  6.000000e+00    8.506305e-02    1.431748e+00    3.227096e-01
  6.020000e+00    1.084040e-02    1.491565e+00    2.798119e-01
  6.040000e+00    -6.456042e-02    1.548694e+00    2.395061e-01
  6.060000e+00    -1.410246e-01    1.603064e+00    2.019372e-01
  6.080000e+00    -2.184352e-01    1.654614e+00    1.672405e-01
  6.100000e+00    -2.966733e-01    1.703283e+00    1.355409e-01
  6.120000e+00    -3.756182e-01    1.749018e+00    1.069523e-01
  6.140000e+00    -4.551474e-01    1.791768e+00    8.157781e-02
  6.160000e+00    -5.351373e-01    1.831491e+00    5.950861e-02
  6.180000e+00    -6.154629e-01    1.868144e+00    4.082417e-02
