   arc_length_s     gamma_x(s)       gamma_y(s)    gamma_z(s)
   1.340000e+00    9.811646e-01    7.614866e-01    5.000000e-01
   1.360000e+00    9.857396e-01    7.809563e-01    5.000000e-01
   1.380000e+00    9.899244e-01    8.005136e-01    5.000000e-01
   1.400000e+00    9.937172e-01    8.201507e-01    5.000000e-01
   1.420000e+00    9.971166e-01    8.398597e-01    5.000000e-01
   1.440000e+00    1.000121e+00    8.596327e-01    5.000000e-01
   1.460000e+00    1.002730e+00    8.794619e-01    5.000000e-01
   1.480000e+00    1.004941e+00    8.993393e-01    5.000000e-01
   1.500000e+00    1.006754e+00    9.192569e-01    5.000000e-01
   1.520000e+00    1.008169e+00    9.392068e-01    5.000000e-01
   1.540000e+00    1.009185e+00    9.591810e-01    5.000000e-01
   1.560000e+00    1.009800e+00    9.791715e-01    5.000000e-01
   1.580000e+00    1.010016e+00    9.991703e-01    5.000000e-01
   1.600000e+00    1.009832e+00    1.019169e+00    5.000000e-01
   1.620000e+00    1.009248e+00    1.039161e+00    5.000000e-01
   1.640000e+00    1.008265e+00    1.059137e+00    5.000000e-01
   1.660000e+00    1.006882e+00    1.079089e+00    5.000000e-01
   1.680000e+00    1.005100e+00    1.099009e+00    5.000000e-01
   1.700000e+00    1.002920e+00    1.118890e+00    5.000000e-01
   1.720000e+00    1.000343e+00    1.138724e+00    5.000000e-01
   1.740000e+00    9.973703e-01    1.158501e+00    5.000000e-01
   1.760000e+00    9.940023e-01    1.178216e+00    5.000000e-01
   1.780000e+00    9.902408e-01    1.197859e+00    5.000000e-01
   1.800000e+00    9.860872e-01    1.217423e+00    5.000000e-01
   1.820000e+00    9.815431e-01    1.236900e+00    5.000000e-01
   1.840000e+00    9.766105e-01    1.256282e+00    5.000000e-01
   1.860000e+00    9.712912e-01    1.275562e+00    5.000000e-01
   1.880000e+00    9.655874e-01    1.294731e+00    5.000000e-01
   1.900000e+00    9.595014e-01    1.313782e+00    5.000000e-01
   1.920000e+00    9.530356e-01    1.332708e+00    5.000000e-01
   1.940000e+00    9.461927e-01    1.351501e+00    5.000000e-01
   1.960000e+00    9.389752e-01    1.370154e+00    5.000000e-01
   1.980000e+00    9.313862e-01    1.388658e+00    5.000000e-01
   2.000000e+00    9.234286e-01    1.407007e+00    5.000000e-01
   2.020000e+00    9.151056e-01    1.425193e+00    5.000000e-01
   2.040000e+00    9.064207e-01    1.443208e+00    5.000000e-01
   2.060000e+00    8.973772e-01    1.461047e+00    5.000000e-01
   2.080000e+00    8.879787e-01    1.478701e+00    5.000000e-01
   2.100000e+00    8.782291e-01    1.496164e+00    5.000000e-01
   2.120000e+00    8.681321e-01    1.513428e+00    5.000000e-01
   2.140000e+00    8.576920e-01    1.530487e+00    5.000000e-01
   2.160000e+00    8.469127e-01    1.547333e+00    5.000000e-01
   2.180000e+00    8.357988e-01    1.563961e+00    5.000000e-01
   2.200000e+00    8.243545e-01    1.580363e+00    5.000000e-01
   2.220000e+00    8.125844e-01    1.596533e+00    5.000000e-01
   2.240000e+00    8.004934e-01    1.612464e+00    5.000000e-01
   2.260000e+00    7.880862e-01    1.628151e+00    5.000000e-01
   2.280000e+00    7.753677e-01    1.643586e+00    5.000000e-01
   2.300000e+00    7.623431e-01    1.658763e+00    5.000000e-01
   2.320000e+00    7.490176e-01    1.673678e+00    5.000000e-01
   2.340000e+00    7.353965e-01    1.688322e+00    5.000000e-01
   2.360000e+00    7.214852e-01    1.702691e+00    5.000000e-01
   2.380000e+00    7.072894e-01    1.716780e+00    5.000000e-01
   2.400000e+00    6.928146e-01    1.730581e+00    5.000000e-01
   2.420000e+00    6.780667e-01    1.744090e+00    5.000000e-01
   2.440000e+00    6.630516e-01    1.757302e+00    5.000000e-01
   2.460000e+00    6.477753e-01    1.770211e+00    5.000000e-01
   2.480000e+00    6.322439e-01    1.782811e+00    5.000000e-01
   2.500000e+00    6.164636e-01    1.795099e+00    5.000000e-01
   2.520000e+00    6.004408e-01    1.807068e+00    5.000000e-01
   2.540000e+00    5.841817e-01    1.818715e+00    5.000000e-01
   2.560000e+00    5.676930e-01    1.830034e+00    5.000000e-01
   2.580000e+00    5.509812e-01    1.841021e+00    5.000000e-01
   2.600000e+00    5.340531e-01    1.851672e+00    5.000000e-01
   2.620000e+00    5.169153e-01    1.861982e+00    5.000000e-01
   2.640000e+00    4.995748e-01    1.871947e+00    5.000000e-01
   2.660000e+00    4.820384e-01    1.881564e+00    5.000000e-01
   2.680000e+00    4.643132e-01    1.890827e+00    5.000000e-01
   2.700000e+00    4.464064e-01    1.899735e+00    5.000000e-01
   2.720000e+00    4.283249e-01    1.908282e+00    5.000000e-01
   2.740000e+00    4.100761e-01    1.916467e+00    5.000000e-01
   2.760000e+00    3.916674e-01    1.924284e+00    5.000000e-01
   2.780000e+00    3.731059e-01    1.931732e+00    5.000000e-01
   2.800000e+00    3.543992e-01    1.938808e+00    5.000000e-01
   2.820000e+00    3.355548e-01    1.945507e+00    5.000000e-01
   2.840000e+00    3.165801e-01    1.951829e+00    5.000000e-01
   2.860000e+00    2.974828e-01    1.957770e+00    5.000000e-01
   2.880000e+00    2.782705e-01    1.963328e+00    5.000000e-01
   2.900000e+00    2.589509e-01    1.968500e+00    5.000000e-01
   2.920000e+00    2.395318e-01    1.973285e+00    5.000000e-01
   2.940000e+00    2.200208e-01    1.977681e+00    5.000000e-01
   2.960000e+00    2.004258e-01    1.981685e+00    5.000000e-01
   2.980000e+00    1.807547e-01    1.985297e+00    5.000000e-01
   3.000000e+00    1.610152e-01    1.988515e+00    5.000000e-01
   3.020000e+00    1.412154e-01    1.991337e+00    5.000000e-01
   3.040000e+00    1.213630e-01    1.993763e+00    5.000000e-01
   3.060000e+00    1.014662e-01    1.995792e+00    5.000000e-01
   3.080000e+00    8.153270e-02    1.997422e+00    5.000000e-01
   3.100000e+00    6.157063e-02    1.998653e+00    5.000000e-01
   3.120000e+00    4.158792e-02    1.999484e+00    5.000000e-01
   3.140000e+00    2.159259e-02    1.999916e+00    5.000000e-01
   3.160000e+00    1.592613e-03    1.999948e+00    5.000000e-01
   3.180000e+00    -1.840400e-02    1.999580e+00    5.000000e-01
   3.200000e+00    -3.838925e-02    1.998812e+00    5.000000e-01
   3.220000e+00    -5.835515e-02    1.997644e+00    5.000000e-01
   3.240000e+00    -7.829370e-02    1.996078e+00    5.000000e-01
   3.260000e+00    -9.819694e-02    1.994113e+00    5.000000e-01
   3.280000e+00    -1.180569e-01    1.991750e+00    5.000000e-01
   3.300000e+00    -1.378656e-01    1.988991e+00    5.000000e-01
   3.320000e+00    -1.576152e-01    1.985836e+00    5.000000e-01
   3.340000e+00    -1.772978e-01    1.982287e+00    5.005000e-01
   3.360000e+00    -1.969054e-01    1.978345e+00    5.010000e-01
   3.380000e+00    -2.164303e-01    1.974011e+00    5.015000e-01
   3.400000e+00    -2.358646e-01    1.969288e+00    5.020000e-01
   3.420000e+00    -2.552006e-01    1.964177e+00    5.025000e-01
   3.440000e+00    -2.744305e-01    1.958681e+00    5.030000e-01
   3.460000e+00    -2.935466e-01    1.952801e+00    5.035000e-01
   3.480000e+00    -3.125413e-01    1.946540e+00    5.040000e-01
   3.500000e+00    -3.314070e-01    1.939900e+00    5.045000e-01
   3.520000e+00    -3.501361e-01    1.932884e+00    5.050000e-01
   3.540000e+00    -3.687212e-01    1.925495e+00    5.055000e-01
   3.560000e+00    -3.871548e-01    1.917736e+00    5.060000e-01
   3.580000e+00    -4.054295e-01    1.909610e+00    5.065000e-01
   3.600000e+00    -4.235381e-01    1.901120e+00    5.070000e-01
   3.620000e+00    -4.414733e-01    1.892270e+00    5.075000e-01
   3.640000e+00    -4.592279e-01    1.883063e+00    5.080000e-01
   3.660000e+00    -4.767948e-01    1.873502e+00    5.085000e-01
   3.680000e+00    -4.941670e-01    1.863592e+00    5.090000e-01
   3.700000e+00    -5.113375e-01    1.853337e+00    5.095000e-01
   3.720000e+00    -5.282995e-01    1.842740e+00    5.100000e-01
   3.740000e+00    -5.450462e-01    1.831806e+00    5.105000e-01
   3.760000e+00    -5.615708e-01    1.820540e+00    5.110000e-01
   3.780000e+00    -5.778669e-01    1.808945e+00    5.115000e-01
   3.800000e+00    -5.939278e-01    1.797027e+00    5.120000e-01
   3.820000e+00    -6.097472e-01    1.784789e+00    5.125000e-01
   3.840000e+00    -6.253186e-01    1.772238e+00    5.130000e-01
   3.860000e+00    -6.406360e-01    1.759378e+00    5.135000e-01
   3.880000e+00    -6.556931e-01    1.746215e+00    5.140000e-01
   3.900000e+00    -6.704839e-01    1.732752e+00    5.145000e-01
   3.920000e+00    -6.850026e-01    1.718997e+00    5.150000e-01
   3.940000e+00    -6.992432e-01    1.704954e+00    5.155000e-01
   3.960000e+00    -7.132002e-01    1.690629e+00    5.160000e-01
   3.980000e+00    -7.268679e-01    1.676028e+00    5.165000e-01
   4.000000e+00    -7.402408e-01    1.661157e+00    5.170000e-01
   4.020000e+00    -7.533137e-01    1.646020e+00    5.175000e-01
   4.040000e+00    -7.660813e-01    1.630626e+00    5.180000e-01
   4.060000e+00    -7.785384e-01    1.614979e+00    5.185000e-01
   4.080000e+00    -7.906801e-01    1.599087e+00    5.190000e-01
   4.100000e+00    -8.025016e-01    1.582954e+00    5.195000e-01
   4.120000e+00    -8.139981e-01    1.566589e+00    5.200000e-01
   4.140000e+00    -8.251650e-01    1.549996e+00    5.205000e-01
   4.160000e+00    -8.359978e-01    1.533184e+00    5.210000e-01
   4.180000e+00    -8.464922e-01    1.516159e+00    5.215000e-01
   4.200000e+00    -8.566441e-01    1.498927e+00    5.220000e-01
   4.220000e+00    -8.664493e-01    1.481495e+00    5.225000e-01
   4.240000e+00    -8.759040e-01    1.463871e+00    5.230000e-01
   4.260000e+00    -8.850043e-01    1.446062e+00    5.235000e-01
   4.280000e+00    -8.937466e-01    1.428073e+00    5.240000e-01
   4.300000e+00    -9.021274e-01    1.409914e+00    5.245000e-01
   4.320000e+00    -9.101434e-01    1.391591e+00    5.250000e-01
   4.340000e+00    -9.177913e-01    1.373111e+00    5.255000e-01
   4.360000e+00    -9.250682e-01    1.354482e+00    5.260000e-01
   4.380000e+00    -9.319710e-01    1.335711e+00    5.265000e-01
   4.400000e+00    -9.384970e-01    1.316805e+00    5.270000e-01
   4.420000e+00    -9.446437e-01    1.297773e+00    5.275000e-01
   4.440000e+00    -9.504085e-01    1.278622e+00    5.280000e-01
   4.460000e+00    -9.557892e-01    1.259359e+00    5.285000e-01
   4.480000e+00    -9.607835e-01    1.239993e+00    5.290000e-01
   4.500000e+00    -9.653896e-01    1.220531e+00    5.295000e-01
   4.520000e+00    -9.696055e-01    1.200980e+00    5.300000e-01
   4.540000e+00    -9.734296e-01    1.181349e+00    5.305000e-01
   4.560000e+00    -9.768603e-01    1.161646e+00    5.310000e-01
   4.580000e+00    -9.798963e-01    1.141877e+00    5.315000e-01
   4.600000e+00    -9.825364e-01    1.122052e+00    5.320000e-01
   4.620000e+00    -9.847794e-01    1.102179e+00    5.325000e-01
   4.640000e+00    -9.866246e-01    1.082264e+00    5.330000e-01
   4.660000e+00    -9.880711e-01    1.062316e+00    5.335000e-01
   4.680000e+00    -9.891184e-01    1.042344e+00    5.340000e-01
   4.700000e+00    -9.897660e-01    1.022354e+00    5.345000e-01
   4.720000e+00    -9.900138e-01    1.002356e+00    5.350000e-01
   4.740000e+00    -9.898616e-01    9.823563e-01    5.355000e-01
   4.760000e+00    -9.893094e-01    9.623639e-01    5.360000e-01
   4.780000e+00    -9.883576e-01    9.423866e-01    5.365000e-01
   4.800000e+00    -9.870064e-01    9.224322e-01    5.370000e-01
   4.820000e+00    -9.852564e-01    9.025090e-01    5.375000e-01
   4.840000e+00    -9.831083e-01    8.826246e-01    5.380000e-01
   4.860000e+00    -9.805630e-01    8.627873e-01    5.385000e-01
   4.880000e+00    -9.776215e-01    8.430048e-01    5.390000e-01
   4.900000e+00    -9.742850e-01    8.232850e-01    5.395000e-01
   4.920000e+00    -9.705547e-01    8.036360e-01    5.400000e-01
   4.940000e+00    -9.664323e-01    7.840655e-01    5.405000e-01
   4.960000e+00    -9.619193e-01    7.645813e-01    5.410000e-01
   4.980000e+00    -9.570175e-01    7.451913e-01    5.415000e-01
   5.000000e+00    -9.517289e-01    7.259032e-01    5.420000e-01
   5.020000e+00    -9.460557e-01    7.067247e-01    5.425000e-01
   5.040000e+00    -9.400000e-01    6.876635e-01    5.430000e-01
   5.060000e+00    -9.335644e-01    6.687272e-01    5.435000e-01
   5.080000e+00    -9.267513e-01    6.499234e-01    5.440000e-01
   5.100000e+00    -9.195636e-01    6.312597e-01    5.445000e-01
   5.120000e+00    -9.120040e-01    6.127434e-01    5.450000e-01
   5.140000e+00    -9.040757e-01    5.943820e-01    5.455000e-01
   5.160000e+00    -8.957817e-01    5.761828e-01    5.460000e-01
   5.180000e+00    -8.871255e-01    5.581531e-01    5.465000e-01
   5.200000e+00    -8.781104e-01    5.403002e-01    5.470000e-01
   5.220000e+00    -8.687400e-01    5.226311e-01    5.475000e-01
   5.240000e+00    -8.590182e-01    5.051529e-01    5.480000e-01
   5.260000e+00    -8.489488e-01    4.878727e-01    5.485000e-01
   5.280000e+00    -8.385358e-01    4.707972e-01    5.490000e-01
   5.300000e+00    -8.277834e-01    4.539335e-01    5.495000e-01
   5.320000e+00    -8.166960e-01    4.372881e-01    5.500000e-01
   5.340000e+00    -8.052778e-01    4.208679e-01    5.505000e-01
   5.360000e+00    -7.935335e-01    4.046792e-01    5.510000e-01
   5.380000e+00    -7.814679e-01    3.887287e-01    5.515000e-01
   5.400000e+00    -7.690857e-01    3.730226e-01    5.520000e-01
   5.420000e+00    -7.563918e-01    3.575673e-01    5.525000e-01
   5.440000e+00    -7.433914e-01    3.423690e-01    5.530000e-01
   5.460000e+00    -7.300896e-01    3.274337e-01    5.535000e-01
   5.480000e+00    -7.164919e-01    3.127674e-01    5.540000e-01
   5.500000e+00    -7.026035e-01    2.983759e-01    5.545000e-01
   5.520000e+00    -6.884301e-01    2.842651e-01    5.550000e-01
   5.540000e+00    -6.739774e-01    2.704406e-01    5.555000e-01
   5.560000e+00    -6.592510e-01    2.569078e-01    5.560000e-01
   5.580000e+00    -6.442570e-01    2.436723e-01    5.565000e-01
   5.600000e+00    -6.290013e-01    2.307393e-01    5.570000e-01
   5.620000e+00    -6.134899e-01    2.181140e-01    5.575000e-01
   5.640000e+00    -5.977292e-01    2.058014e-01    5.580000e-01
   5.660000e+00    -5.817254e-01    1.938064e-01    5.585000e-01
   5.680000e+00    -5.654850e-01    1.821339e-01    5.590000e-01
   5.700000e+00    -5.490143e-01    1.707886e-01    5.595000e-01
   5.720000e+00    -5.323201e-01    1.597749e-01    5.600000e-01
   5.740000e+00    -5.154089e-01    1.490972e-01    5.605000e-01
   5.760000e+00    -4.982875e-01    1.387599e-01    5.610000e-01
   5.780000e+00    -4.809629e-01    1.287671e-01    5.615000e-01
   5.800000e+00    -4.634419e-01    1.191227e-01    5.620000e-01
   5.820000e+00    -4.457315e-01    1.098306e-01    5.625000e-01
   5.840000e+00    -4.278388e-01    1.008946e-01    5.630000e-01
   5.860000e+00    -4.097710e-01    9.231826e-02    5.635000e-01
   5.880000e+00    -3.915353e-01    8.410492e-02    5.640000e-01
   5.900000e+00    -3.731390e-01    7.625792e-02    5.645000e-01
   5.920000e+00    -3.545894e-01    6.878039e-02    5.650000e-01
   5.940000e+00    -3.358940e-01    6.167531e-02    5.655000e-01
   5.960000e+00    -3.170603e-01    5.494555e-02    5.660000e-01
   5.980000e+00    -2.980957e-01    4.859378e-02    5.665000e-01
   6.000000e+00    -2.790079e-01    4.262254e-02    5.670000e-01
   6.020000e+00    -2.598045e-01    3.703423e-02    5.675000e-01
   6.040000e+00    -2.404932e-01    3.183108e-02    5.680000e-01
   6.060000e+00    -2.210816e-01    2.701517e-02    5.685000e-01
   6.080000e+00    -2.015777e-01    2.258843e-02    5.690000e-01
   6.100000e+00    -1.819891e-01    1.855263e-02    5.695000e-01
   6.120000e+00    -1.623237e-01    1.490938e-02    5.700000e-01
   6.140000e+00    -1.425895e-01    1.166014e-02    5.705000e-01
   6.160000e+00    -1.227941e-01    8.806208e-03    5.710000e-01
   6.180000e+00    -1.029457e-01    6.348728e-03    5.715000e-01
   6.200000e+00    -8.305205e-02    4.288682e-03    5.720000e-01
   6.220000e+00    -6.312121e-02    2.626894e-03    5.725000e-01
   6.240000e+00    -4.316112e-02    1.364028e-03    5.730000e-01
   6.260000e+00    -2.317977e-02    5.005905e-04    5.735000e-01
   6.280000e+00    -3.185145e-03    3.692594e-05    5.740000e-01
   6.300000e+00    1.681475e-02    -2.678010e-05    5.745000e-01
   6.320000e+00    3.681193e-02    3.094979e-04    5.750000e-01
   6.340000e+00    5.679837e-02    1.045625e-03    5.755000e-01
   6.360000e+00    7.676610e-02    2.181308e-03    5.760000e-01
   6.380000e+00    9.670713e-02    3.716092e-03    5.765000e-01
   6.400000e+00    1.166135e-01    5.649362e-03    5.770000e-01
   6.420000e+00    1.364772e-01    7.980346e-03    5.775000e-01
   6.440000e+00    1.562903e-01    1.070811e-02    5.780000e-01
   6.460000e+00    1.760449e-01    1.383157e-02    5.785000e-01
   6.480000e+00    1.957331e-01    1.734946e-02    5.790000e-01
   6.500000e+00    2.153469e-01    2.126039e-02    5.795000e-01
   6.520000e+00    2.348787e-01    2.556279e-02    5.800000e-01
   6.540000e+00    2.543205e-01    3.025494e-02    5.805000e-01
   6.560000e+00    2.736646e-01    3.533496e-02    5.810000e-01
   6.580000e+00    2.929032e-01    4.080082e-02    5.815000e-01
   6.600000e+00    3.120287e-01    4.665034e-02    5.820000e-01
   6.620000e+00    3.310333e-01    5.288116e-02    5.825000e-01
   6.640000e+00    3.499095e-01    5.949081e-02    5.830000e-01
   6.660000e+00    3.686498e-01    6.647664e-02    5.835000e-01
   6.680000e+00    3.872467e-01    7.383585e-02    5.840000e-01
   6.700000e+00    4.056926e-01    8.156550e-02    5.845000e-01
   6.720000e+00    4.239803e-01    8.966250e-02    5.850000e-01
   6.740000e+00    4.421023e-01    9.812360e-02    5.855000e-01
   6.760000e+00    4.600516e-01    1.069454e-01    5.860000e-01
   6.780000e+00    4.778208e-01    1.161245e-01    5.865000e-01
   6.800000e+00    4.954029e-01    1.256570e-01    5.870000e-01
   6.820000e+00    5.127909e-01    1.355393e-01    5.875000e-01
   6.840000e+00    5.299777e-01    1.457673e-01    5.880000e-01
   6.860000e+00    5.469566e-01    1.563370e-01    5.885000e-01
   6.880000e+00    5.637206e-01    1.672441e-01    5.890000e-01
   6.900000e+00    5.802632e-01    1.784844e-01    5.895000e-01
   6.920000e+00    5.965777e-01    1.900532e-01    5.900000e-01
   6.940000e+00    6.126576e-01    2.019459e-01    5.905000e-01
   6.960000e+00    6.284964e-01    2.141579e-01    5.910000e-01
   6.980000e+00    6.440879e-01    2.266841e-01    5.915000e-01
   7.000000e+00    6.594257e-01    2.395197e-01    5.920000e-01
   7.020000e+00    6.745037e-01    2.526594e-01    5.925000e-01
   7.040000e+00    6.893160e-01    2.660981e-01    5.930000e-01
   7.060000e+00    7.038565e-01    2.798302e-01    5.935000e-01
   7.080000e+00    7.181195e-01    2.938505e-01    5.940000e-01
   7.100000e+00    7.320993e-01    3.081531e-01    5.945000e-01
   7.120000e+00    7.457902e-01    3.227325e-01    5.950000e-01
   7.140000e+00    7.591868e-01    3.375828e-01    5.955000e-01
   7.160000e+00    7.722838e-01    3.526980e-01    5.960000e-01
   7.180000e+00    7.850759e-01    3.680721e-01    5.965000e-01
   7.200000e+00    7.975579e-01    3.836990e-01    5.970000e-01
   7.220000e+00    8.097249e-01    3.995723e-01    5.975000e-01
   7.240000e+00    8.215721e-01    4.156858e-01    5.980000e-01
   7.260000e+00    8.330946e-01    4.320330e-01    5.985000e-01
   7.280000e+00    8.442879e-01    4.486074e-01    5.990000e-01
   7.300000e+00    8.551475e-01    4.654023e-01    5.995000e-01
   7.320000e+00    8.656690e-01    4.824111e-01    6.000000e-01
   7.340000e+00    8.758483e-01    4.996268e-01    6.005000e-01
   7.360000e+00    8.856813e-01    5.170427e-01    6.010000e-01
   7.380000e+00    8.951640e-01    5.346517e-01    6.015000e-01
   7.400000e+00    9.042927e-01    5.524469e-01    6.020000e-01
   7.420000e+00    9.130636e-01    5.704210e-01    6.025000e-01
   7.440000e+00    9.214733e-01    5.885670e-01    6.030000e-01
   7.460000e+00    9.295185e-01    6.068775e-01    6.035000e-01
   7.480000e+00    9.371959e-01    6.253453e-01    6.040000e-01
   7.500000e+00    9.445024e-01    6.439629e-01    6.045000e-01
   7.520000e+00    9.514351e-01    6.627229e-01    6.050000e-01
   7.540000e+00    9.579912e-01    6.816178e-01    6.055000e-01
   7.560000e+00    9.641682e-01    7.006400e-01    6.060000e-01
   7.580000e+00    9.699635e-01    7.197820e-01    6.065000e-01
   7.600000e+00    9.753748e-01    7.390360e-01    6.070000e-01
   7.620000e+00    9.804000e-01    7.583944e-01    6.075000e-01
   7.640000e+00    9.850371e-01    7.778494e-01    6.080000e-01
   7.660000e+00    9.892841e-01    7.973933e-01    6.085000e-01
   7.680000e+00    9.931395e-01    8.170182e-01    6.090000e-01
   7.700000e+00    9.966016e-01    8.367162e-01    6.095000e-01
   7.720000e+00    9.996690e-01    8.564796e-01    6.100000e-01
   7.740000e+00    1.002341e+00    8.763004e-01    6.105000e-01
   7.760000e+00    1.004615e+00    8.961706e-01    6.110000e-01
   7.780000e+00    1.006492e+00    9.160823e-01    6.115000e-01
   7.800000e+00    1.007971e+00    9.360276e-01    6.120000e-01
   7.820000e+00    1.009050e+00    9.559985e-01    6.125000e-01
   7.840000e+00    1.009729e+00    9.759869e-01    6.130000e-01
   7.860000e+00    1.010009e+00    9.959850e-01    6.135000e-01
   7.880000e+00    1.009888e+00    1.015985e+00    6.140000e-01
   7.900000e+00    1.009368e+00    1.035978e+00    6.145000e-01
   7.920000e+00    1.008448e+00    1.055957e+00    6.150000e-01
   7.940000e+00    1.007129e+00    1.075913e+00    6.155000e-01
   7.960000e+00    1.005410e+00    1.095839e+00    6.160000e-01
   7.980000e+00    1.003294e+00    1.115727e+00    6.165000e-01
   8.000000e+00    1.000780e+00    1.135568e+00    6.170000e-01
   8.020000e+00    9.978703e-01    1.155355e+00    6.175000e-01
   8.040000e+00    9.945651e-01    1.175080e+00    6.180000e-01
   8.060000e+00    9.908662e-01    1.194735e+00    6.185000e-01
   8.080000e+00    9.867749e-01    1.214312e+00    6.190000e-01
   8.100000e+00    9.822929e-01    1.233804e+00    6.195000e-01
   8.120000e+00    9.774220e-01    1.253202e+00    6.200000e-01
   8.140000e+00    9.721642e-01    1.272498e+00    6.205000e-01
   8.160000e+00    9.665215e-01    1.291686e+00    6.210000e-01
   8.180000e+00    9.604962e-01    1.310756e+00    6.215000e-01
   8.200000e+00    9.540907e-01    1.329703e+00    6.220000e-01
   8.220000e+00    9.473077e-01    1.348518e+00    6.225000e-01
   8.240000e+00    9.401496e-01    1.367193e+00    6.230000e-01
   8.260000e+00    9.326196e-01    1.385721e+00    6.235000e-01
   8.280000e+00    9.247205e-01    1.404095e+00    6.240000e-01
   8.300000e+00    9.164555e-01    1.422307e+00    6.245000e-01
   8.320000e+00    9.078280e-01    1.440351e+00    6.250000e-01
